Service_Category,Service_Type,Location_Name,Description,Website,Service_Phone,Location_Address_1,Location_Suburb,Location_State,Location_Postcode,Latitude,Longitude
Accommodation Services,Crisis & Emergency Accommodation,Southside Community Care Inc,Southside Community Care offers short term crisis ,http://www.southsidecommunitycare.org.au,(07) 3343 1441,139 Example Street,UPPER MOUNT GRAVATT,QLD,4122,-27.547,153.081
Accommodation Services,Crisis & Emergency Accommodation,Teen Challenge Care Qld,Teen Challenge Qld provideds emergency accommodati,http://teenchallengeqld.org.au,(07) 3422 1500,140 Example Street,GAYTHORNE,QLD,4051,-27.412,152.981
Accommodation Services,Crisis & Emergency Accommodation,Womens House - Domestic Violence Support Services,Women's House services are run by women and for wo,http://womenshouse.org.au/womens-house-shelta/,(07) 3391 0005,141 Example Street,,,,-27.494,153.035
Accommodation Services,Crisis & Emergency Accommodation,Zillmere Family Accommodation Program,Zillmere Family Accommodation Program provides sho,,(07) 3865 2880,142 Example Street,ZILLMERE,QLD,4034,-27.357,153.038
Accommodation Services,Specialist Homelessness Services,#ChangingLivesProject,#ChangingLivesProject provide a free Clothes Washi,http://www.changinglivesproject.com.au,1300 970 145,143 Example Street,BOONDALL,QLD,4034,-27.362,153.051
Accommodation Services,Specialist Homelessness Services,139 Club - New Farm,This service is for individuals and families exper,http://www.139club.com.au,(07) 3254 1144,144 Example Street,NEW FARM,QLD,4005,-27.461,153.038
Accommodation Services,Specialist Homelessness Services,Aboriginal Hostels Ltd - Brisbane,Aboriginal Hostels Limited provides temporary acco,http://www.ahl.gov.au,(07) 3221 3866,145 Example Street,BRISBANE CITY,QLD,4000,-27.464,153.029
Accommodation Services,Specialist Homelessness Services,Australian Red Cross - Homestay program,The Homestay program is defined by the delivery of,http://www.redcross.org.au/homelessness.aspx,(07) 3863 0448,146 Example Street,,,,-27.472,153.004
Accommodation Services,Specialist Homelessness Services,BRIC Housing - Spring Hill,The Better Housing Projects provide housing accomm,http://www.bric.org.au/,(07) 3230 5555,147 Example Street,SPRING HILL,QLD,4000,-27.459,153.02
Accommodation Services,Specialist Homelessness Services,Brisbane Period Project - Brisbane,Supporting women and transgender men experiencing ,http://www.brisbaneperiodproject.org.au,0400 259 692,148 Example Street,,,,-27.44,153.156
Accommodation Services,Specialist Homelessness Services,Brisbane Youth Service - Centre for Young Families ,Housing assistance for young families,http://www.brisyouth.org/what-we-do/centre-for-young-families/,(07) 3620 2400,149 Example Street,GREENSLOPES,QLD,4120,-27.501,153.044
Accommodation Services,Specialist Homelessness Services,Brisbane Youth Service - Valley Hub,"Crisis and long term housing assistance.",http://www.brisyouth.org,(07) 3620 2400,150 Example Street,FORTITUDE VALLEY,QLD,4006,-27.458,153.036
Accommodation Services,Specialist Homelessness Services,DV Connect - Womensline, Counselling ' Information ' Refuge ' Safety,http://www.dvconnect.org,1800 811 811,151 Example Street,,,,-27.385,153.12
Accommodation Services,Specialist Homelessness Services,HART4000 - Homelessness Assistance and Referral Team,HART4000 - We are an assessment and referral team ,http://www.under1roof.org.au/contact-us/,(07) 3004 0100,152 Example Street,FORTITUDE VALLEY,QLD,4006,-27.454,153.034
Accommodation Services,Specialist Homelessness Services,Homeless Hotline,Homeless Hotline is a phone information and referr,https://www.qld.gov.au/housing/emergency-temporary-accommodation/homeless-persons-information-qld/,1800 474 753,153 Example Street,,,,-27.47,153.023
Accommodation Services,Specialist Homelessness Services,Lodge Youth Support Service Inc,Lodge Youth Support provides medium to long term a,,(07) 3266 2155,154 Example Street,NORTHGATE,QLD,4013,-27.389,153.064
Accommodation Services,Specialist Homelessness Services,Micah Projects Inc,"Please contact us if you are sleeping rough, homel",http://www.micahprojects.org.au,(07) 3029 7000,155 Example Street,WEST END,QLD,4101,-27.481,153.011
Accommodation Services,Specialist Homelessness Services,Nathanael House Crisis Youth Shelter,Nathanael House Crisis Youth Shelter provides cris,,(07) 3849 4038,156 Example Street,MT GRAVATT,QLD,4122,-27.531,153.083
Accommodation Services,Specialist Homelessness Services,New Hope Care,New Hope Care aims to meet the needs of those in B,http://admin5258.wixsite.com/newhopecare,(07) 3839 2312,157 Example Street,RED HILL,QLD,4059,-27.458,153.014
Accommodation Services,Specialist Homelessness Services,North West Youth Accommodation Service Inc.,Supported accommodation for young people aged 16-2,http://www.nwyas.org.au,(07) 3855 5233,158 Example Street,MITCHELTON,QLD,4053,-27.412,152.973
Accommodation Services,Specialist Homelessness Services,Ozcare Homeless Hostel (Men) - South Brisbane,Ozcare provides temporary accommodation and flexib,http://www.ozcare.org.au,1800 692 273,159 Example Street,SOUTH BRISBANE,QLD,4101,-27.473,153.014
Accommodation Services,Specialist Homelessness Services,"Pindari Services (Men's & Women's), The Salvation Army ",Pindari provides emergency accommodation up to thr,http://www.salvos.org.au,(07) 3832 1491,160 Example Street,SPRING HILL,QLD,4000,-27.458,153.028
Accommodation Services,Specialist Homelessness Services,Salvation Army - Brisbane North Supported Accommodation (families),Brisbane North Supported Accommodation Provides Im,,(07) 3350 3880,161 Example Street,,,,-27.378,153.029
Accommodation Services,Specialist Homelessness Services,Salvation Army - Fortitude Valley (Community Support Service),Food vouchers and parcels Transport vouchers (with,,(07) 3852 4438,162 Example Street,FORTITUDE VALLEY,QLD,4006,-27.454,153.032
Accommodation Services,Specialist Homelessness Services,Street Swags Head Office,Street Swags provides basic bedding to people all ,http://www.streetswags.org,(07) 3366 5126,163 Example Street,ASHGROVE,QLD,4060,-27.449,152.977
Accommodation Services,Specialist Homelessness Services,Windsor House - Immediate Response Program,"We do not accept families, accompanying children o",,(07) 3357 6504,164 Example Street,,,,-27.436,153.031
Accommodation Services,Specialist Homelessness Services,Youth Advocacy Centre,"YAC can provide information, advice, referral and ",http://yac.net.au,(07) 3356 1002,165 Example Street,PETRIE TERRACE,QLD,4000,-27.462,153.014
Accommodation Services,Specialist Homelessness Services,Zillmere Family Accommodation Program,Zillmere Family Accommodation Program provides sho,,(07) 3865 2880,166 Example Street,ZILLMERE,QLD,4034,-27.357,153.038
Accommodation Services,Youth Accommodation Services,Aftercare Youth Residential Rehabilitation Unit - Greenslopes,A 24-hour residential service which offers support,http://www.aftercare.com.au,(07) 3324 1922,167 Example Street,STONES CORNER,QLD,4120,-27.508,153.051
Accommodation Services,Youth Accommodation Services,Australian Red Cross - Milton,Australian Red Cross provides Youth Accommodation ,http://www.redcross.org.au,(07) 3367 7222,168 Example Street,MILTON,QLD,4064,-27.472,153.004
Accommodation Services,Youth Accommodation Services,BABI - Youth and Family Service,BABI Youth and Family Service provides a range of ,http://www.babi.org.au,(07) 3393 4176,169 Example Street,WYNNUM,QLD,4178,-27.441,153.172
Accommodation Services,Youth Accommodation Services,Global Booking Service,Homestay and Student accommodation for Internation,http://www.globalbookingservice.org,(07) 3062 4553,170 Example Street,,,,-27.469,153.025
Accommodation Services,Youth Accommodation Services,Lodge Youth Support Service Inc,Lodge Youth Support provides medium to long term a,,(07) 3266 2155,171 Example Street,NORTHGATE,QLD,4013,-27.389,153.064
Accommodation Services,Youth Accommodation Services,Nathanael House Crisis Youth Shelter,Nathanael House Crisis Youth Shelter provides cris,,(07) 3849 4038,172 Example Street,MT GRAVATT,QLD,4122,-27.531,153.083
Accommodation Services,Youth Accommodation Services,North West Youth Accommodation Service - Mitchelton,North West Youth Accommodation Service Inc. (NWYAS,http://www.nwyas.org.au,(07) 3855 5233,173 Example Street,MITCHELTON,QLD,4053,-27.412,152.973
Accommodation Services,Youth Accommodation Services,Queensland Baptist Care,The services provided by Queensland Bapist Care in,https://www.carinity.org.au/queensland-baptist-care-relaunches-carinity,(07) 3550 3737,174 Example Street,GAYTHORNE,QLD,4051,-27.412,152.981
Accommodation Services,Youth Accommodation Services,Salvation Army - Forest Lake (Youth Service),YOS offers six one bedroom transitional housing un,https://salvos.org.au/lakeyouthservice/,(07) 3714 0705,175 Example Street,FOREST LAKE,QLD,4078,-27.625,152.971
Accommodation Services,Youth Accommodation Services,Salvation Army - Fortitude Valley (Community Support Service),YOS offers six one bedroom transitional housing un,,(07) 3852 4438,176 Example Street,FORTITUDE VALLEY,QLD,4006,-27.454,153.032
Accommodation Services,Youth Accommodation Services,Salvation Army - Red Hill (Moonyah),YOS offers six one bedroom transitional housing un,,(07) 3369 0922,177 Example Street,RED HILL,QLD,4059,-27.448,153.001
Accommodation Services,Youth Accommodation Services,Salvation Army - Stafford,YOS offers six one bedroom transitional housing un,http://salvos.org.au/stafford/,(07) 3352 6577,178 Example Street,STAFFORD,QLD,4053,-27.415,153.011
Accommodation Services,Youth Accommodation Services,Salvation Army Aged Care Plus - Chapel Hill ,YOS offers six one bedroom transitional housing un,http://agedcareplus.salvos.org.au/,(07) 3379 9800,179 Example Street,CHAPEL HILL,QLD,4069,-27.508,152.956
Accommodation Services,Youth Accommodation Services,Teen Challenge - New Hope House,New Hope House is the emergency accommodation cent,http://www.teenchallengeqld.org.au,(07) 3356 6824,180 Example Street,KELVIN GROVE,QLD,4059,-27.458,153.014
Accommodation Services,Youth Accommodation Services,Teen Challenge QLD Care - Brisbane,Teen Challenge Care Qld Ltd offers the following s,https://www.teenchallengeqld.org.au/,(07) 3422 1500,181 Example Street,GAYTHORNE,QLD,4051,-27.412,152.981
Accommodation Services,Youth Accommodation Services,The Salvation Army Employment Plus - Cannon Hill,YOS offers six one bedroom transitional housing un,http://www.employmentplus.com.au/,(07) 3368 8100,182 Example Street,CANNON HILL,QLD,4170,-27.471,153.1
Accommodation Services,Youth Accommodation Services,The Salvation Army Employment Plus - Greenslopes,YOS offers six one bedroom transitional housing un,http://www.employmentplus.com.au/,(07) 3394 9500,183 Example Street,GREENSLOPES,QLD,4120,-27.498,153.046
Accommodation Services,Youth Accommodation Services,The Salvation Army Employment Plus - Inala,YOS offers six one bedroom transitional housing un,http://www.employmentplus.com.au/,(07) 3714 2100,184 Example Street,INALA,QLD,4077,-27.597,152.974
Accommodation Services,Youth Accommodation Services,The Salvation Army Employment Plus - Moorooka,YOS offers six one bedroom transitional housing un,http://www.employmentplus.com.au/,(07) 3373 0800,185 Example Street,MOOROOKA,QLD,4105,-27.532,153.025
Accommodation Services,Youth Accommodation Services,YHP,YHP provides externally supported accommodation fo,http://yhp.org.au,(07) 3256 0241,186 Example Street,ALBION,QLD,4010,-27.431,153.041
Accommodation Services,Youth Accommodation Services,Youth Emergency Service - Inala,The Inala Youth and Family Support Service is a co,http://www.iys.org.au,(07) 3372 4435,187 Example Street,INALA,QLD,4077,-27.598,152.978
Accommodation Services,Youth Accommodation Services,Youth Emergency Services - Windsor,Youth Emergency Service Inc at Windsor accommodate,,(07) 3357 7655,188 Example Street,LUTWYCHE,QLD,4030,-27.422,153.033
Accommodation Services,Youth Accommodation Services,Zig Zag Young Womens Resource Centre,Zig Zag Young Womens Resource Centre operates a me,http://www.zigzag.org.au,(07) 3843 1823,189 Example Street,CAMP HILL,QLD,4152,-27.493,153.075
Advocacy Services,General Advocacy Services,Acacia Ridge Community Support Inc,Community Support Inc (CSI) - Acacia Ridge provide,http://www.arcsi.org.au/,(07) 3277 4893,190 Example Street,ACACIA RIDGE,QLD,4110,-27.579,153.019
Advocacy Services,General Advocacy Services,ADA Australia - Statewide,"QADA offers information, education and support to ",http://www.adaaustralia.com.au,1800 818 338,191 Example Street,GEEBUNG,QLD,4034,-27.37,153.038
Advocacy Services,General Advocacy Services,Amparo Advocacy Inc.,Addressing the needs of people from culturally and,,(07) 3369 2500,192 Example Street,MILTON,QLD,4064,-27.466,153.009
Advocacy Services,General Advocacy Services,Australian Pensioners' & Superannuants' League - Inala,Australian Pensioners and Superannuants League (AP,,(07) 3372 6302,193 Example Street,INALA,QLD,4077,-27.601,152.974
Advocacy Services,General Advocacy Services,Australian Pensioners and Superannuants League - Head Office,Australian Pensioners and Superannuants League (AP,http://www.apsl.com.au,(07) 3844 5878,194 Example Street,WEST END,QLD,4101,-27.482,153.012
Advocacy Services,General Advocacy Services,Births Death and Marriages,"Records of births, deaths and marriages. We have t",https://www.qld.gov.au/law/births-deaths-marriages-and-divorces/,13 74 68,195 Example Street,BRISBANE CITY,QLD,4000,-27.466,153.024
Advocacy Services,General Advocacy Services,Care Connect - Banyo,Care Connect is a major community care provider th,http://careconnect.org.au,(07) 3867 2200,196 Example Street,BANYO,QLD,4014,-27.384,153.077
Advocacy Services,General Advocacy Services,Carers Advisory Service,The Carer Advisory Service is a statewide service ,http://www.carersqld.asn.au,1800 242 636,197 Example Street,CAMP HILL,QLD,4152,-27.499,153.081
Advocacy Services,General Advocacy Services,Carers Queensland,Advocacy is available to support you in your role ,http://www.carersqld.asn.au,(07) 3900 8100,198 Example Street,CAMP HILL,QLD,4152,-27.498,153.081
Advocacy Services,General Advocacy Services,Carers Queensland: Brisbane North Regional Office ,Advocacy is available to support you in your role ,http://carersqld.asn.au/,(07) 3624 1700,199 Example Street,STAFFORD,QLD,4053,-27.411,153.02
Advocacy Services,General Advocacy Services,Carers Queensland: Brisbane South Regional Office,Advocacy is available to support you in your role ,http://www.carersqld.asn.au,(07) 3723 5010,200 Example Street,MT GRAVATT EAST,QLD,4122,-27.537,153.078
Advocacy Services,General Advocacy Services,Caxton Legal Centre Inc,Caxton Legal Centre provides free legal and social,http://www.caxton.org.au,(07) 3214 6333,201 Example Street,SOUTH BRISBANE,QLD,4101,-27.474,153.013
Advocacy Services,General Advocacy Services,Centacare - Enoggera Day Respite Centre,"Centre Based Day Care, Domestic Assistance, Allied",http://www.centacarebrisbane.net.au/,1300 236 822,202 Example Street,ENOGGERA,QLD,4051,-27.415,152.99
Advocacy Services,General Advocacy Services,Centacare - Northgate Community Services,"Centre Based Day Care, Domestic Assistance, Case M",http://www.centacarebrisbane.net.au,1300 236 822,203 Example Street,NORTHGATE,QLD,4013,-27.397,153.073
Advocacy Services,General Advocacy Services,Contact Inc,Contact Inc is a Community Cultural Development or,,(07) 3255 3900,204 Example Street,SOUTH BRISBANE,QLD,4101,-27.474,153.017
Advocacy Services,General Advocacy Services,COTA Queensland,COTA,http://www.cotaq.org.au,(07) 3316 2999,205 Example Street,BRISBANE,QLD,4000,-27.471,153.023
Advocacy Services,General Advocacy Services,Crime And Misconduct Commission - Brisbane,We provide services in the Toowoomba Regional Coun,http://www.ccc.qld.gov.au/,(07) 3360 6060,206 Example Street,BRISBANE,QLD,4000,-27.466,153.027
Advocacy Services,General Advocacy Services,Darra Community Group Inc,General community support.,http://darracommunitygroup.org/,(07) 3271 2416,207 Example Street,DARRA,QLD,4076,-27.566,152.952
Advocacy Services,General Advocacy Services,EDARC,Providing advocacy for individuals with eating dis,http://www.eda.org.au,(07) 3394 3661,208 Example Street,GREENSLOPES,QLD,4120,-27.507,153.051
Advocacy Services,General Advocacy Services,Elorac Place,"Tenents are seleected based on age, they must be u",,(07) 3271 3592,209 Example Street,ELLEN GROVE,QLD,4078,-27.614,152.938
Advocacy Services,General Advocacy Services,Huntingtons Queensland,Our mission is to provide professional support and,http://huntingtonsqld.org.au/,(07) 3391 8833,210 Example Street,ANNERLEY,QLD,4103,-27.508,153.033
Advocacy Services,General Advocacy Services,LawRight - South Brisbane,We assist people to navigate the mental health sys,http://www.lawright.org.au/,(07) 3846 6317,211 Example Street,SOUTH BRISBANE,QLD,4101,-27.467,153.02
Advocacy Services,General Advocacy Services,MDA - Headquarters,MDA develops relationships with community stakehol,http://www.mdaltd.org.au/,(07) 3337 5400,212 Example Street,WOOLLOONGABBA,QLD,4102,-27.494,153.033
Advocacy Services,General Advocacy Services,MDA Northside Office,MDA develops relationships with community stakehol,http://www.mdaltd.org.au,(07) 3198 2500,213 Example Street,NUNDAH,QLD,4012,-27.399,153.063
Advocacy Services,General Advocacy Services,Mental Health Court registry,The Mental Health Court decides the state of mind ,http://www.courts.qld.gov.au/contact-us/mental-health-court,(07) 3234 0703,214 Example Street,BRISBANE CITY,QLD,4000,-27.47,153.028
Advocacy Services,General Advocacy Services,Micah Projects Inc,The Brisbane Domestic Violence Service (BDVS) is a,http://www.micahprojects.org.au,(07) 3029 7000,215 Example Street,WEST END,QLD,4101,-27.481,153.011
Advocacy Services,General Advocacy Services,Motor Neurone Association of Queensland,Advocacy for people living with MND and their care,http://www.mndaq.org.au,(07) 3372 9004,216 Example Street,INALA,QLD,4077,-27.601,152.984
Advocacy Services,General Advocacy Services,Office of the Health Ombudsman,We maintain public confidence in the management of,http://www.oho.qld.gov.au/,13 36 46,217 Example Street,BRISBANE CITY,QLD,4000,-27.469,153.025
Advocacy Services,General Advocacy Services,Office of the Public Guardian,Involuntary guardianship agency for persons identi,http://www.publicguardian.qld.gov.au,(07) 3234 0870,218 Example Street,BRISBANE CITY,QLD,4000,-27.467,153.021
Advocacy Services,General Advocacy Services,QCU,The Queensland Council of Unions (QCU) is the peak,http://www.queenslandunions.org/,(07) 3846 2468,219 Example Street,SOUTH BRISBANE,QLD,4101,-27.472,153.016
Advocacy Services,General Advocacy Services,QE11 Courts of Law Complex,The Mental Health Court decides the state of mind ,http://www.courts.qld.gov.au/contact-us/mental-health-court,(07) 3234 0703,220 Example Street,BRISBANE,QLD,4000,-27.467,153.02
Advocacy Services,General Advocacy Services,Qld AIDS Council Building,Patient Advocacy and Support Service for people af,http://www.hfq.org.au,0419 706 056,221 Example Street,NEWSTEAD,QLD,4006,-27.452,153.046
Advocacy Services,General Advocacy Services,Queensland Advocacy Inc,Community-based systems and legal advocacy for peo,http://www.qai.org.au,(07) 3844 4200,222 Example Street,SOUTH BRISBANE,QLD,4101,-27.473,153.014
Advocacy Services,General Advocacy Services,Queensland Alliance for Mental Health (QAMH),The Queensland Alliance advocates for community se,http://www.qldalliance.org.au,(07) 3252 9411,223 Example Street,STONES CORNER,QLD,4120,-27.504,153.047
Advocacy Services,General Advocacy Services,Queensland Parents of People with a Disability,Vigorously defend justice and rights for people wi,http://www.qppd.org/,0447 010 260,224 Example Street,BANYO,QLD,4014,-27.38,153.092
Advocacy Services,General Advocacy Services,Queensland Shelter,Queensland Shelter is a housing policy peak which ,http://www.qshelter.asn.au,(07) 3831 5900,225 Example Street,BRISBANE,QLD,4004,-27.461,153.018
Advocacy Services,General Advocacy Services,Queensland Voice for Mental Health Inc.,Qld Voice is the peak body for consumers and carer,http://www.qldvoice.org.au,(07) 3252 3999,226 Example Street,BOWEN HILLS,QLD,4006,-27.448,153.034
Advocacy Services,General Advocacy Services,Respect Inc - Brisbane,Respect Inc  aims to provide all sex workers with ,http://www.respectqld.org.au,(07) 3835 1111,227 Example Street,SPRING HILL  BRISBANE,QLD,4000,-27.462,153.028
Advocacy Services,General Advocacy Services,SISTERS INSIDE - West End,Sisters Inside Inc. is an independent community or,http://www.sistersinside.com.au,(07) 3844 5066,228 Example Street,WEST END,QLD,4101,-27.482,153.004
Advocacy Services,General Advocacy Services,Spinal Home Help Inc.,SHH will assist you to locate any service provider,http://www.spinalhomehelp.com.au,(07) 3189 3414,229 Example Street,MOOROOKA,QLD,4105,-27.535,153.02
Advocacy Services,General Advocacy Services,Spinal Life Australia - Woolloongabba,The Spinal Injuries Australia is a Queensland wide,http://www.spinal.com.au,(07) 3391 2044,230 Example Street,WOOLLOONGABBA,QLD,4102,-27.49,153.039
Advocacy Services,General Advocacy Services,St. Catherine's Anglican Ministry Middle Park,Supporting community members to give them a voice ,http://homepage.powerup.com.au/~stcaths,(07) 3376 0384,231 Example Street,MIDDLE PARK,QLD,4074,-27.558,152.917
Advocacy Services,General Advocacy Services,The Ethnic Communities Council of Queensland - ECCQ,The Ethnic Communities Council of Queensland is th,http://www.eccq.com.au,(07) 3844 9166,232 Example Street,WEST END,QLD,4101,-27.483,153.011
Advocacy Services,General Advocacy Services,Urban Design Alliance Queensland Inc,Urban Design Alliance Queensland Inc,http://www.udal.org.au,0402 729 763,233 Example Street,BRISBANE,QLD,4000,-27.47,153.028
Advocacy Services,General Advocacy Services,Women's Legal Service Advice Line,Women's Legal Service phone line dedicated to wome,http://www.wlsq.org.au/,1800 457 117,234 Example Street,ANNERLEY,QLD,4103,-27.508,153.033
Advocacy Services,Local Advocacy Services,Acacia Ridge Community Support Inc,Community Support Inc (CSI) - Acacia Ridge provide,http://www.arcsi.org.au/,(07) 3277 4893,235 Example Street,ACACIA RIDGE,QLD,4110,-27.579,153.019
Advocacy Services,Local Advocacy Services,Births Death and Marriages,"Records of births, deaths and marriages. We have t",https://www.qld.gov.au/law/births-deaths-marriages-and-divorces/,13 74 68,236 Example Street,BRISBANE CITY,QLD,4000,-27.466,153.024
Advocacy Services,Local Advocacy Services,Brisbane Central District Child Protection & Investigation Unit,The Brisbane Central District Child Protection & I,,(07) 3258 2533,237 Example Street,BRISBANE CITY,QLD,4000,-27.471,153.025
Advocacy Services,Local Advocacy Services,Brisbane West District Child Protection and Investigation Unit,The Brisbane Central District Child Protection & I,,(07) 3872 1577,238 Example Street,FERNY GROVE,QLD,4055,-27.406,152.94
Advocacy Services,Local Advocacy Services,Calamvale Ward Office - Councillor Angela Owen,"Having lived in the ward for 30 years, I have been",http://www.angelaowen.com.au/Default.aspx,(07) 3131 7022,239 Example Street,ALGESTER,QLD,4115,-27.611,153.041
Advocacy Services,Local Advocacy Services,Care Connect - Banyo,Care Connect is a major community care provider th,http://careconnect.org.au,(07) 3867 2200,240 Example Street,BANYO,QLD,4014,-27.384,153.077
Advocacy Services,Local Advocacy Services,Centacare - Aspley Respite Centre,"Centre Based Day Care, Domestic Assistance, Allied",http://centacarebrisbane.net.au/,1300 236 822,241 Example Street,ASPLEY,QLD,4034,-27.366,153.034
Advocacy Services,Local Advocacy Services,Child Protection & Investigation Unit - Oxley District,The Oxley District Child Protection and Investigat,,(07) 3737 5558,242 Example Street,INALA,QLD,4077,-27.595,152.971
Advocacy Services,Local Advocacy Services,Court Network Queensland,"To provide support, information and referral to pe",http://www.courtnetwork.com.au,1800 267 671,243 Example Street,BRISBANE CITY,QLD,4000,-27.467,153.02
Advocacy Services,Local Advocacy Services,Holland Park Mt Gravatt Sub Branch - The Returned Services League of Australia,Welfare and Pension Advocacy within the Veteran Co,,(07) 3397 0561,244 Example Street,HOLLAND PARK,QLD,4121,-27.516,153.064
Advocacy Services,Local Advocacy Services,Holland Park Ward Office - Councillor Krista Adams,"As your local representative, it's my job to ensur",http://www.kristaadams.com.au/home,(07) 3403 7791,245 Example Street,MOUNT GRAVATT,QLD,4122,-27.531,153.074
Advocacy Services,Local Advocacy Services,Joe Kelly MP - Greenslopes,Joe Kelly knows that access to high quality health,http://www.queenslandlabor.org/candidate/joe-kelly/,(07) 3414 2100,246 Example Street,COORPAROO,QLD,4151,-27.493,153.06
Advocacy Services,Local Advocacy Services,MATES in Construction,MATES in Construction is a charity established in ,http://www.matesinconstruction.org.au,(07) 3833 1140,247 Example Street,SPRING HILL,QLD,4000,-27.463,153.025
Advocacy Services,Local Advocacy Services,Morningside Child Protection and Investigation Unit,The Brisbane Central District Child Protection & I,,(07) 3823 8672,248 Example Street,MORNINGSIDE,QLD,4170,-27.465,153.071
Advocacy Services,Local Advocacy Services,Office of Public Guardian Queensland - Advocacy for children and young people,OPG child advocacy officers protect the rights of ,http://publicguardian.qld.gov.au/,1800 661 533,249 Example Street,BRISBANE,QLD,4000,-27.467,153.021
Advocacy Services,Local Advocacy Services,Office of the Public Guardian,Involuntary guardianship agency for persons identi,http://www.publicguardian.qld.gov.au,(07) 3234 0870,250 Example Street,BRISBANE CITY,QLD,4000,-27.467,153.021
Advocacy Services,Local Advocacy Services,QCU,QCU Branches are a fantastic resource for the QCU ,http://www.queenslandunions.org/,(07) 3846 2468,251 Example Street,SOUTH BRISBANE,QLD,4101,-27.472,153.016
Advocacy Services,Local Advocacy Services,Queensland Advocacy Inc,Queensland Advocacy Incorporated (QAI) is an indep,http://www.qai.org.au,(07) 3844 4200,252 Example Street,SOUTH BRISBANE,QLD,4101,-27.473,153.014
Advocacy Services,Local Advocacy Services,Queensland Positive People,This service aims to improve the legal literacy of,http://www.qpp.org.au,(07) 3013 5555,253 Example Street,EAST BRISBANE,QLD,4169,-27.481,153.042
Advocacy Services,Local Advocacy Services,Respect Inc - Brisbane,Respect Inc - Brisbane,http://www.respectqld.org.au,(07) 3835 1111,254 Example Street,SPRING HILL  BRISBANE,QLD,4000,-27.462,153.028
