Provider ID,Region,Provider,Name,Address,Suburb,State,Postcode,Website,Phone Number,Email Address,Status
1151,Queensland,Theodore Street BBQ,John Smith,168 Smith Street,Stafford,QLD,4053,,(07) 1234 5723,example@email.com,Active
1155,Queensland,Reaching Out,John Smith,169 Smith Street,Collingwood Park,QLD,4301,,(07) 1234 5724,example@email.com,Active
1161,Queensland,Lend A Hand to Ipswich Homeless,John Smith,170 Smith Street,North Ipswich,QLD,4305,Facebook.com/groups/lendahandtoipswichhomeless,(07) 1234 5725,example@email.com,Active
1167,Australian Capital Territory,UnitingCare Canberra City Early Morning Centre,John Smith,171 Smith Street,Canberra City,ACT,2601,www.canberracityuca.org.au/html/early_morning_centre.html,(07) 1234 5726,example@email.com,Active
1177,Queensland,BABI's Youth Support Program,John Smith,172 Smith Street,Wynnum,QLD,4178,www.babi.org.au,(07) 1234 5727,example@email.com,Active
1179,Queensland,St Andrew's Uniting Church,John Smith,173 Smith Street,Brisbane,QLD,4000,www.saintandrews.org.au,(07) 1234 5728,example@email.com,Active
1181,Queensland,Western Downs Outreach Project Inc.,John Smith,174 Smith Street,Dalby,QLD,4405,wdop.net.au,(07) 1234 5729,example@email.com,Active
1189,Queensland,AL- Furqan Charitable Islamic Trust Australian Unity Centre,John Smith,175 Smith Street,Slacks Creek,QLD,4127,www.slackscreekmosque.org.au,(07) 1234 5730,example@email.com,Active
1195,Queensland,Plus One Care,John Smith,176 Smith Street,Reedy Creek,QLD,4227,www.plusonecare.org,(07) 1234 5731,example@email.com,Active
1197,Queensland,Agape Outreach Inc,John Smith,177 Smith Street,Banora Point,NSW,2486,www.agapeoutreachinc.com,(07) 1234 5732,example@email.com,Active
1201,Queensland,Redcliffe Hands Of Hope,John Smith,178 Smith Street,Scarborough,QLD,4020,,(07) 1234 5733,example@email.com,Active
1211,Queensland,Orange Sky Laundry,John Smith,179 Smith Street,,QLD,,www.orangeskylaundry.com.au/,(07) 1234 5734,example@email.com,Active
1217,Queensland,Maroochy Neighbourhood Centre Inc.,John Smith,180 Smith Street,Cotton Tree,QLD,4558,www.facebook.com/maroochyneighbourhoodcentre,(07) 1234 5735,example@email.com,Active
1221,Queensland,Public Toilet Maps - QLD Government,John Smith,181 Smith Street,,,,toiletmap.gov.au,(07) 1234 5736,example@email.com,Active
1223,Queensland,Share a Meal Caloundra,John Smith,182 Smith Street,Caloundra,QLD,4551,,(07) 1234 5737,example@email.com,Active
1227,Queensland,Streetlight,John Smith,183 Smith Street,Aspley,QLD,4034,www.facebook.com/BrisbaneStreetLight/?ref=aymt_homepage_panel,(07) 1234 5738,example@email.com,Active
1231,Queensland,West End Christian Fellowship,John Smith,184 Smith Street,West End,QLD,4101,westendfellowship.com/,(07) 1234 5739,example@email.com,Active
1237,Queensland,Wesley Mission Queensland: Brisbane Relief Hub,John Smith,185 Smith Street,Fortitude Valley,QLD,4006,www.wmq.org.au,(07) 1234 5740,example@email.com,Active
1241,Queensland,Copticare Outreach (St Mina & St Anthony Coptic Orthodox Church),John Smith,186 Smith Street,Helensvale,QLD,4212,,(07) 1234 5741,example@email.com,Active
1245,Queensland,Nightlight,John Smith,187 Smith Street,Beenleigh,QLD,4207,www.nightlight.org.au,(07) 1234 5742,example@email.com,Active
1251,Queensland,Bahloo Womens Youth Shelter,John Smith,188 Smith Street,Woolloongabba,QLD,4102,,(07) 1234 5743,example@email.com,Active
1259,Queensland,Soul Soup Australia,John Smith,189 Smith Street,Labrador,QLD,4214,www.facebook.com/SoulSoupAustralia/,(07) 1234 5744,example@email.com,Active
1269,Queensland,Brothers In Need,John Smith,190 Smith Street,,QLD,,http://brothersinneed.org.au/,(07) 1234 5745,example@email.com,Active
1273,Queensland,Southport Uniting Church,John Smith,191 Smith Street,Southport,QLD,4215,southportunitingchurch.org.au,(07) 1234 5746,example@email.com,Active
1275,Queensland,HelpMeWithIt.org.au,John Smith,192 Smith Street,,,,helpmewithit.org.au,(07) 1234 5747,example@email.com,Active
1277,Queensland,Valley Hearts,John Smith,193 Smith Street,,,,,(07) 1234 5748,example@email.com,Active
